"Club","Swimmer","Age 													Group","Seed 													 														Time","HT/LN","Time","Pl","Pts"
"TOC","Andrew, Mark","25-29","25.15","29/8","24.34","1","11"
"TOC","Cono, Benjamin","25-29","23.97","29/5","24.82","2","9"
"NYAC","Otto, Matthew","25-29","25.66","29/9","24.92","3","8"
"TW","Karpenko, Oleksandr","25-29","24.13","29/6","24.98","4","7"
"FLAME","Winnett, Justin","25-29","24.67","29/4","24.99","5","6"
"TOC","Solaeche, Eduardo","30-34","24.92","26/5","25.14","1","11"
"JACM","Husch, Stephen","25-29","24.92","29/7","25.22","6","5"
"NYAC","Vicioso, Emilio","18-24","25.50","31/5","25.29","1","11"
"LSM","Brock, Levi","25-29","24.93","29/3","25.32","7","4"
"TOC","Affeld, Jonathan","18-24","30.00","30/7","25.48","2","9"
"1693","Nitkiewicz, Travis","18-24","26.00","31/4","25.52","3","8"
"WMST","Preda, Valentin","35-39","26.34","23/5","25.65","1","11"
"TOC","Mackrel, Julian","30-34","25.71","26/6","25.67","2","9"
"NCMS","Cheifetz, Adam","18-24","25.59","31/6","25.86","4","7"
"ASC","Tierney, Sam","30-34","27.00","26/8","25.98","3","8"
"SDSM","Zeger, Kai","18-24","26.50","31/3","26.13","5","6"
"WISC","Van Cleave, Kevin","25-29","25.30","29/2","26.27","8","3"
"TOC","Arvidsson, Karl","25-29","27.01","28/5","26.35","9","2"
"NYAC","Dillinger, Thomas","25-29","26.10","29/1","26.38","10","1"
"1693","Brower, Andrew","30-34","26.00","26/4","26.58","4","7"
"NYAC","Fong, Joshua","18-24","28.00","31/1","26.67","6","5"
"NOVA","West, Steve","50-54","27.00","16/5","26.70","1","11"
"NYAC","Elliot, Oliver","35-39","29.50","23/9","26.74","2","9"
"OREG","Plocek, Everett","25-29","27.09","28/6","26.99","11","0"
"AAMAH","Pidgeon, Jack","30-34","28.78","26/10","27.20","5","6"
"MINN","Bond, Riley","25-29","27.48","28/4","27.27","12","0"
"MVN","Travaini, Carlo","60-64","27.27","10/5","27.31","1","11"
"NYAC","Cowley, Christopher","30-34","26.83","26/3","27.38","6","5"
"LRM","Schildknecht, Calvin","40-44","27.50","21/6","27.44","1","11"
