"Club","Swimmer","Age 													Group","Seed 													 														Time","HT/LN","Time","Pl","Pts"
"TOC","Andrew, Mark","25-29","49.94","40/6","48.34","1","11"
"NYAC","Otto, Matthew","25-29","53.20","39/6","49.64","2","9"
"TOC","Affeld, Jonathan","18-24","56.00","43/2","49.85","1","11"
"TOC","Solaeche, Eduardo","30-34","49.70","35/5","49.91","1","11"
"VCM","Lauffer, Brayden","25-29","51.92","40/8","49.96","3","8"
"NYAC","Fong, Zachary","25-29","48.78","40/5","50.30","4","7"
"TOC","Malone, Reed","30-34","55.50","34/2","50.64","2","9"
"TOC","Mackrel, Julian","30-34","51.44","35/4","51.03","3","8"
"SCM","Roy, Daniel","25-29","53.40","39/4","51.11","5","6"
"NYAC","Luchsinger, Thomas","30-34","55.00","34/3","51.19","4","7"
"UC22","Scheuermann, Noah","18-24","56.00","43/9","51.50","2","9"
"TW","Hardy, Matthew","18-24","50.89","43/5","51.63","3","8"
"TOC","Cono, Benjamin","25-29","52.00","40/2","51.76","6","4.5"
"TW","Karpenko, Oleksandr","25-29","50.00","40/7","51.76","6","4.5"
"NYAC","Dillinger, Thomas","25-29","50.00","40/4","51.79","8","3"
"WISC","Van Cleave, Kevin","25-29","51.34","40/3","51.80","9","2"
"1693","Nitkiewicz, Travis","18-24","52.00","43/6","52.03","4","7"
"TOC","Arvidsson, Karl","25-29","52.10","40/1","52.07","10","1"
"NYAC","Phillips, Timothy","30-34","50.65","35/6","52.53","5","6"
"LSM","Brock, Levi","25-29","52.00","40/9","52.60","11","0"
"NYAC","Keblish, Bryce","25-29","52.61","40/10","52.66","12","0"
"WMST","Preda, Valentin","35-39","53.25","31/4","52.68","1","11"
"1693","Portmann, Jack","25-29","54.13","39/3","52.76","13","0"
"TOC","Savulich, Bobby","35-39","52.87","31/5","52.82","2","9"
"SRM","Kline, Peter","35-39","53.09","31/6","52.84","3","8"
"UC43","Calvillo, Mikey","18-24","55.09","43/8","52.85","5","6"
"HSAM","Edgar, Steven","30-34","53.99","35/1","52.86","6","5"
"WISC","Sandvold, Caleb","30-34","53.39","35/2","53.09","7","4"
"1693","Kettlewell-sites, Sam","25-29","52.89","39/5","53.11","14","0"
"TXLA","Van Roekel, Benjamin","35-39","55.89","31/8","53.41","4","7"
