"Club","Swimmer","Age 													Group","Seed 													 														Time","HT/LN","Time","Pl","Pts"
"SCM","Roy, Daniel","25-29","1:57.05","17/6","1:55.46","1","11"
"TW","Karpenko, Oleksandr","25-29","1:54.58","17/5","1:57.77","2","9"
"TOC","Cono, Benjamin","25-29","1:58.00","17/4","2:01.54","3","8"
"NYAC","Otto, Matthew","25-29","1:58.96","17/7","2:02.58","4","7"
"1693","Nitkiewicz, Travis","18-24","2:03.00","18/5","2:03.21","1","11"
"ASC","Tierney, Sam","30-34","2:15.00","16/3","2:04.98","1","11"
"TOC","Arvidsson, Karl","25-29","2:09.79","17/9","2:05.02","5","6"
"1693","Brower, Andrew","30-34","2:03.11","16/5","2:05.20","2","9"
"LSM","Brock, Levi","25-29","2:04.00","17/8","2:06.52","6","5"
"WMST","Preda, Valentin","35-39","2:07.68","15/5","2:06.76","1","11"
"JACM","Husch, Stephen","25-29","2:03.39","17/3","2:07.05","7","4"
"NOVA","West, Steve","50-54","2:07.00","11/5","2:07.11","1","11"
"WISC","Van Cleave, Kevin","25-29","2:07.73","17/2","2:08.19","8","3"
"GAJA","West, Chandler","35-39","2:18.69","15/7","2:11.40","2","9"
"ASC","Vogel, Jake","35-39","2:17.17","15/4","2:12.90","3","8"
"MINN","Bond, Riley","25-29","2:13.69","17/1","2:13.12","9","2"
"NYAC","Cowley, Christopher","30-34","2:08.53","16/4","2:13.12","3","8"
"UC25","Hirsekorn, Kurt","45-49","2:12.00","12/5","2:13.21","1","11"
"NICK","Duszynski, Andrew","30-34","2:12.28","16/7","2:13.32","4","7"
"FASWM","Bowen, Rich","40-44","2:17.22","14/4","2:13.71","1","11"
"SCM","Shino, Trent","40-44","2:14.42","14/6","2:13.93","2","9"
"RMRM","Hansbury, Ethan","18-24","2:16.32","18/7","2:14.04","2","9"
"NAM","Gutnayer, Daniel","30-34","2:17.17","16/8","2:14.19","5","6"
"MVN","Travaini, Carlo","60-64","2:12.34","8/5","2:15.26","1","11"
"CWTWN","Sok, Sam","25-29","2:19.03","13/3","2:16.66","10","1"
"SKY","Solano, Abraham","55-59","2:13.88","10/5","2:16.66","1","11"
"NICK","Le, Michael","25-29","2:17.23","17/10","2:16.97","11","0"
"UC08","Clark, Grant","45-49","2:20.41","12/4","2:18.30","2","9"
"NYAC","Vicioso, Emilio","18-24","2:15.00","18/4","2:18.50","3","8"
"WISC","Lefeber, Joshua","30-34","2:08.45","16/6","2:18.51","6","5"
"TW","Cooley, Matthew","18-24","2:22.21","18/3","2:19.36","4","7"
"SSQ","Palafox Lopez, Hector Alejan","30-34","2:21.94","16/2","2:20.58","7","4"
"SFTL","Frankovich, Joseph","18-24","2:22.39","18/8","2:21.92","5","6"
"TXLA","Wiggans, Keith","45-49","2:29.87","12/8","2:22.00","3","8"
